state,district,name,state_rank,national_rank,college_readiness_score,tested_ap_ib,pass_ap_ib,math_score,math_proficient,math_not_proficient,reading_score,reading_proficient,reading_not_proficient,student_teacher_ratio,street_address,city,total_enrollment,total_economically_disadvantaged,receives_title_i_funding,ap_student_performance_participation_rate,ap_student_performance_participant_passing_rate,ap_student_performance_exam_per_test_taker,ap_student_performance_exam_pass_rate
California,Hughson Unified School District,Hughson High,,,12.4,17.00%,55.00%,,,,,,,,7419 EAST WHITMORE AVE,"HUGHSON, CA 95326",750,N/A,Yes,17.00%,66.00%,1.9,55.00%
California,Imperial County Office Of Education,Imperial County Special Education,,,N/A,,,,,,,,,,1398 SPERBER RD,"EL CENTRO, CA 92243",307,99.00%,Yes,,,,
California,Chico Unified School District,Inspire School of Arts and Sciences,,,N/A,,,,,,,,,,901 THE ESPLANADE,"CHICO, CA 95926",382,99.00%,Yes,,,,
California,Los Angeles County Office Of Education,International Polytechnic High,,,N/A,,,,,,,,,,3801 WEST TEMPLE AVE BLDG. 1,"POMONA, CA 91768",510,N/A,Yes,,,,
California,Los Angeles Unified School District,James J. Mcbride Special Education Cente,,,N/A,,,,,,,,,,3960 CENTINELA AVE,"LOS ANGELES, CA 90066",145,N/A,Yes,,,,
California,Los Angeles Unified School District,Joaquin Miller Career And Transition Cen,,,N/A,,,,,,,,,,8218 VANALDEN AVE,"RESEDA, CA 91335",224,99.00%,Yes,,,,
California,Tracy Joint Unified School District,John C. Kimball High,,,14.1,23.00%,55.00%,,,,,,,,3200 JAGUAR RUN,"TRACY, CA 95377","1,961",N/A,Yes,23.00%,49.00%,2.3,55.00%
California,Corona-Norco Unified School District,John F. Kennedy High,,,N/A,,,,,,,,,,1951 THIRD ST,"NORCO, CA 92860",624,N/A,Yes,,,,
California,San Diego Unified School District,Kearny International Business,,,13.8,32.00%,19.00%,,,,,,,,7651 WELLINGTON WAY,"SAN DIEGO, CA 92111",462,N/A,Yes,32.00%,25.00%,1.5,19.00%
California,Kerman Unified School District,Kerman High School,,,14.8,29.00%,21.00%,,,,,,,,205 SOUTH FIRST ST,"KERMAN, CA 93630","1,242",N/A,Yes,29.00%,34.00%,1.9,21.00%
California,Placentia-Yorba Linda Unified School District,La Entrada High,,,N/A,,,,,,,,,,4175 FAIRMONT BLVD,"YORBA LINDA, CA 92886",85,96.00%,Yes,,,,
California,William S. Hart Union High,Learning Post High (Alternative),,,N/A,,,,,,,,,,26455 ROCKWELL CANYON RD,"SANTA CLARITA, CA 91355",97,N/A,No,,,,
California,San Jose Unified School District,Leland Plus (Continuation),,,N/A,,,,,,,,,,6677 CAMDEN AVE,"SAN JOSE, CA 95120",36,N/A,Yes,,,,
California,Lemoore Union High,Lemoore Middle College High,,,N/A,,,,,,,,,,555 COLLEGE AVE,"LEMOORE, CA 93245",225,34.00%,No,,,,
California,Western Placer Unified School District,Lincoln High,,,10.5,17.00%,47.00%,,,,,,,,790 J ST,"LINCOLN, CA 95648","1,478",N/A,No,17.00%,52.00%,1.9,47.00%
California,Live Oak Unified School District,Live Oak High,,,6,14.00%,25.00%,,,,,,,,2351 PENNINGTON RD,"LIVE OAK, CA 95953",520,N/A,Yes,14.00%,25.00%,1.5,25.00%
California,Los Angeles County Office Of Education,Los Angeles International Charter High,,,N/A,,,,,,,,,,625 COLEMAN AVE,"LOS ANGELES, CA 90042",202,N/A,Yes,,,,
California,Mariposa County Unified School District,Mariposa Co High,,,16,21.00%,72.00%,,,,,,,,5074 OLD HWY,"MARIPOSA, CA 95338",584,N/A,Yes,21.00%,70.0%,2.8,72.00%
California,Merced Union High,Merced High,,,17.6,25.00%,44.00%,,,,,,,,205 WEST OLIVE AVE,"MERCED, CA 95348","2,759",N/A,Yes,25.00%,60.0%,2.9,44.00%
California,Santa Rosa High,Mesa High,,,N/A,,,,,,,,,,1235 MENDOCINO AVE,"SANTA ROSA, CA 95401",55,95.00%,Yes,,,,
California,Lodi Unified School District,Middle College High,,,N/A,,,,,,,,,,5151 PACIFIC AVE,"STOCKTON, CA 95207",238,N/A,Yes,,,,
California,West Contra Costa Unified School District,Middle College High,,,N/A,,,,,,,,,,2600 MISSION BELL DR,"SAN PABLO, CA 94806",285,N/A,Yes,,,,
California,San Bernardino City Unified School District,Middle College High,,,N/A,,,,,,,,,,701 SOUTH MT. VERNON AVE,"SAN BERNARDINO, CA 92410",156,N/A,Yes,,,,
California,San Jose Unified School District,Middle College High,,,N/A,,,,,,,,,,2101 MOORPARK AVE,"SAN JOSE, CA 95128",41,N/A,Yes,,,,
California,Santa Ana Unified School District,Middle College High,,,N/A,,,,,,,,,,1530 WEST 17TH ST,"SANTA ANA, CA 92706",305,N/A,Yes,,,,
California,Chawanakee Unified School District,Minarets High,,,10.5,26.00%,13.00%,,,,,,,,45077 RD 200,"O'NEALS, CA 93645",283,N/A,Yes,26.00%,20.0%,2.6,13.00%
California,Saddleback Valley Unified School District,Mira Monte High (Alternative),,,N/A,,,,,,,,,,25632 DISENO DR,"MISSION VIEJO, CA 92691",72,N/A,Yes,,,,
California,Monterey Peninsula Unified School District,Monterey High,,,16.5,23.00%,60.0%,,,,,,,,101 HERRMANN DR,"MONTEREY, CA 93940","1,253",N/A,Yes,23.00%,63.00%,2.5,60.0%
California,Santa Rosa High,Montgomery High,,,18.1,22.00%,74.00%,,,,,,,,1250 HAHMAN DR,"SANTA ROSA, CA 95405","1,742",N/A,Yes,22.00%,78.00%,1.5,74.00%
California,San Diego Unified School District,Mt. Everest Academy,,,N/A,,,,,,,,,,4350 MT. EVEREST BLVD,"SAN DIEGO, CA 92117",161,N/A,Yes,,,,
California,Nevada County Office Of Education,Muir Charter,,,N/A,,,,,,,,,,9845 HORN RD,"SACRAMENTO, CA 95827","1,396",N/A,No,,,,
California,Natomas Unified School District,Natomas Charter,,,13.7,23.00%,46.00%,,,,,,,,4600 BLACKROCK DR,"SACRAMENTO, CA 95835","1,365",N/A,Yes,23.00%,48.00%,1,46.00%
California,Napa Valley Unified School District,New Technology High,,,N/A,,,,,,,,,,920 YOUNT ST,"NAPA, CA 94559",383,N/A,Yes,,,,
California,San Dieguito Union High,North Coast Alternative High,,,N/A,,,,,,,,,,684 REQUEZA,"ENCINITAS, CA 92024",51,94.00%,No,,,,
California,Novato Unified School District,Nova Education Center,,,N/A,,,,,,,,,,720 DIABLO BLVD,"NOVATO, CA 94947",65,N/A,Yes,,,,
California,Nuview Union,Nuview Bridge Early College High,,,3.9,12.00%,10.0%,,,,,,,,30401 RESERVOIR AVE,"NUEVO, CA 92567",450,N/A,Yes,12.00%,10.0%,1,10.0%
California,Oak Park Unified School District,Oak Park Independent,,,N/A,,,,,,,,,,5701 CONIFER ST,"OAK PARK, CA 91377",109,N/A,No,,,,
California,Los Olivos Elementary,Olive Grove,,,N/A,,,,,,,,,,2540 ALAMO PINTADO AVE,"LOS OLIVOS, CA 93441",302,N/A,No,,,,
California,Capistrano Unified School District,Opportunities for Learning-Capistrano,,,N/A,,,,,,,,,,33621 DEL OBISPO ST,"DANA POINT, CA 92629",117,97.00%,No,,,,
California,Burbank Unified School District,Options For Youth-Burbank Charter,,,N/A,,,,,,,,,,1610 WEST BURBANK BLVD,"BURBANK, CA 91506","1,246",N/A,No,,,,
California,Twin Hills Union Elementary,Orchard View,,,N/A,,,,,,,,,,700 WATER TROUGH RD,"SEBASTOPOL, CA 95472",187,N/A,No,,,,
California,Orcutt Union Elementary,Orcutt Academy Charter,,,N/A,,,,,,,,,,500 DYER ST,"ORCUTT, CA 93455",629,N/A,No,,,,
California,Orange Unified School District,Ousd Home Sch,,,N/A,,,,,,,,,,250 SOUTH YORBA ST,"ORANGE, CA 92869",73,96.00%,Yes,,,,
California,Stockton Unified School District,Pacific Law Academy,,,N/A,,,,,,,,,,1621 BROOKSIDE RD,"STOCKTON, CA 95207",206,99.00%,Yes,,,,
California,Western Placer Unified School District,Partnerships for Student-Centered Learning,,,8.2,14.00%,42.00%,,,,,,,,2800 NICOLAUS RD,"LINCOLN, CA 95648","1,187",63.00%,No,14.00%,46.00%,1.5,42.00%
California,Harmony Union Elementary,Pathways Charter,,,N/A,,,,,,,,,,150 PROFESSIONAL CENTER DR SOU,"ROHNERT PARK, CA 94928",505,44.00%,No,,,,
California,La Honda-Pescadero Unified School District,Pescadero High,,,N/A,,,,,,,,,,350 BUTANO CUT OFF,"PESCADERO, CA 94060",102,N/A,Yes,,,,
California,Mountain Empire Unified School District,Pivot Charter School - San Diego,,,N/A,,,,,,,,,,1030 LA BONITA DR,"SAN MARCOS, CA 92078",78,96.00%,No,,,,
California,Chico Unified School District,Pleasant Valley High,,,17.2,22.00%,64.00%,,,,,,,,1475 EAST AVE,"CHICO, CA 95926","1,949",N/A,Yes,22.00%,72.00%,2.4,64.00%
California,Princeton Joint Unified School District,Princeton Junior-Senior High,,,N/A,,,,,,,,,,473 STATE ST,"PRINCETON, CA 95970",108,63.00%,Yes,,,,
California,Antelope Valley Union High,Quartz Hill High,,,13.2,19.00%,46.00%,,,,,,,,6040 WEST AVE L,"QUARTZ HILL, CA 93536","3,146",N/A,Yes,19.00%,57.00%,3,46.00%
California,Arcadia Unified School District,Rancho Learning Center (Alternative),,,N/A,,,,,,,,,,150 SOUTH THIRD AVE,"ARCADIA, CA 91006",47,94.00%,No,,,,
California,Red Bluff Joint Union High,Red Bluff High,,,11,14.00%,53.00%,,,,,,,,1260 UNION ST,"RED BLUFF, CA 96080","1,438",N/A,Yes,14.00%,70.0%,2.2,53.00%
California,Riverbank Unified School District,Riverbank High,,,6.4,11.00%,43.00%,,,,,,,,6200 CLAUS RD,"RIVERBANK, CA 95367",689,65.00%,Yes,11.00%,47.00%,2.7,43.00%
California,Riverside County Office Of Education,Riverside County Special Education,,,N/A,,,,,,,,,,3939 13TH ST,"RIVERSIDE, CA 92502",989,N/A,No,,,,
California,Delano Joint Union High,Robert F. Kennedy High,,,14.9,22.00%,34.00%,,,,,,,,1401 HIETT AVE,"DELANO, CA 93215","1,099",N/A,Yes,22.00%,57.00%,3,34.00%
California,San Diego Unified School District,San Diego Science And Technology,,,15.3,38.00%,17.00%,,,,,,,,1405 PARK BLVD,"SAN DIEGO, CA 92101",511,N/A,Yes,38.00%,21.00%,1.9,17.00%
California,Grossmont Union High,Santana High,,,15.3,18.00%,61.00%,,,,,,,,9915 NORTH MAGNOLIA AVE,"SANTEE, CA 92071","1,411",N/A,Yes,18.00%,77.00%,4.1,61.00%
California,Sacramento City Unified School District,School of Engineering & Sciences,,,N/A,,,,,,,,,,7345 GLORIA DR,"SACRAMENTO, CA 95831",392,N/A,Yes,,,,
California,Selma Unified School District,Selma High,,,11.9,18.00%,42.00%,,,,,,,,3125 WRIGHT ST,"SELMA, CA 93662","1,683",N/A,Yes,18.00%,55.00%,2.1,42.00%
California,Desert Sands Unified School District,Shadow Hills High,,,18.1,30.0%,25.00%,,,,,,,,39225 JEFFERSON ST,"INDIO, CA 92201","1,218",N/A,Yes,30.0%,48.00%,4.1,25.00%
California,Shasta Union High,Shasta Secondary Home,,,N/A,,,,,,,,,,1401 GOLD ST,"REDDING, CA 96001",220,41.00%,No,,,,
California,Vista Unified School District,Siatech,,,N/A,,,,,,,,,,2611 TEMPLE HEIGHTS DR,"OCEANSIDE, CA 92056","1,864",17.00%,No,,,,
California,Sierra Unified School District,Sierra High School,,,17.9,34.00%,34.00%,,,,,,,,33326 NORTH LODGE RD,"TOLLHOUSE, CA 93667",587,N/A,Yes,34.00%,36.00%,2.2,34.00%
California,Antelope Valley Union High,Soar High (Students On Academic Rise),,,N/A,,,,,,,,,,3041 WEST AVE K,"LANCASTER, CA 93536",323,N/A,Yes,,,,
California,Somis Union,Somis Academy,,,N/A,,,,,,,,,,950 FLYNN RD,"CAMARILLO, CA 93012",145,32.00%,No,,,,
California,Tulare County Office Of Education,Special Education,,,N/A,,,,,,,,,,2637 WEST BURREL AVE,"VISALIA, CA 93291",813,N/A,No,,,,
California,Redding Elementary,Stellar Secondary Charter High,,,N/A,,,,,,,,,,5885 EAST BONNYVIEW RD,"REDDING, CA 96001",79,96.00%,Yes,,,,
California,Summerville Union High,Summerville High,,,7.3,8.00%,67.00%,,,,,,,,17555 TUOLUMNE RD,"TUOLUMNE, CA 95379",650,N/A,Yes,8.00%,82.00%,1.4,67.00%
California,Taft Union High,Taft Union High,,,11.6,22.00%,31.00%,,,,,,,,701 7TH ST,"TAFT, CA 93268",960,N/A,No,22.00%,37.00%,1.6,31.00%
California,Tamalpais Union High,Tamiscal High (Alternative),,,N/A,,,,,,,,,,305 DOHERTY DR,"LARKSPUR, CA 94939",87,N/A,No,,,,
California,Cotati-Rohnert Park Unified School District,Technology High,,,N/A,,,,,,,,,,1801 EAST COTATI AVE,"ROHNERT PARK, CA 94928",215,N/A,Yes,,,,
California,Santa Clara County Office Of Education,University Preparatory Academy Charter,,,N/A,,,,,,,,,,2315 CANOAS GARDEN AVE,"SAN JOSE, CA 95125",458,7.00%,No,,,,
California,Tulare County Office Of Education,University Preparatory High,,,N/A,,,,,,,,,,915 SOUTH MOONEY BLVD MARIPO,"VISALIA, CA 93277",148,98.00%,No,,,,
California,Stanislaus County Office Of Education,Valley Charter High,,,N/A,,,,,,,,,,108 CAMPUS WAY,"MODESTO, CA 95350",228,36.00%,No,,,,
California,San Ramon Valley Unified School District,Venture (Alternative),,,N/A,,,,,,,,,,10540 ALBION RD,"SAN RAMON, CA 94582",273,99.00%,No,,,,
California,Glendale Unified School District,Verdugo Academy,,,N/A,,,,,,,,,,3800 FOOTHILL BLVD,"LA CRESCENTA, CA 91214",98,3.00%,Yes,,,,
California,Corona-Norco Unified School District,Victress Bower School for Exceptional Students,,,N/A,,,,,,,,,,1250 WEST PARKRIDGE AVE,"NORCO, CA 92860",55,N/A,Yes,,,,
California,Stockton Unified School District,Walton Development Center,,,N/A,,,,,,,,,,4131 NORTH CROWN AVE,"STOCKTON, CA 95207",89,N/A,Yes,,,,
California,Washington Unified School District,West Sacramento School for Independent Study,,,N/A,,,,,,,,,,1200 ANNA ST,"WEST SACRAMENTO, CA 95605",42,93.00%,Yes,,,,
California,Anderson Union High,West Valley High,,,11.4,21.00%,34.00%,,,,,,,,3805 HAPPY VALLEY RD,"COTTONWOOD, CA 96022",965,49.00%,Yes,21.00%,38.00%,1.7,34.00%
California,Anaheim Union High,Western High School,,,17.7,29.00%,38.00%,,,,,,,,501 SOUTH WESTERN AVE,"ANAHEIM, CA 92804","2,301",N/A,Yes,29.00%,48.00%,2.4,38.00%
California,Huntington Beach Union High,Westminster High,,,16.7,24.00%,44.00%,,,,,,,,14325 GOLDENWEST ST,"WESTMINSTER, CA 92683","2,680",N/A,Yes,24.00%,61.00%,3.7,44.00%
California,Ceres Unified School District,Whitmore Charter High,,,N/A,,,,,,,,,,3435 DON PEDRO RD,"CERES, CA 95307",132,N/A,Yes,,,,
California,Nevada Joint Union High,William & Marian Ghidotti High,,,N/A,,,,,,,,,,250 SIERRA COLLEGE DR,"GRASS VALLEY, CA 95945",176,7.00%,No,,,,
California,Willits Unified School District,Willits Charter,,,N/A,,,,,,,,,,1431 SOUTH MAIN ST,"WILLITS, CA 95490",147,48.00%,Yes,,,,
California,Yreka Union High,Yreka High,,,8.6,10.0%,71.00%,,,,,,,,400 PREECE WAY,"YREKA, CA 96097",678,40.0%,Yes,10.0%,86.00%,2,71.00%
California,ABC Unified School District,Abc Secondary (Alternative),,Unranked,N/A,,,,,,,,,,16534 SOUTH CARMENITA RD,"CERRITOS, CA 90703",109,N/A,Yes,,,,
California,Southern Kern Unified School District,Abraham Lincoln Alternative,,Unranked,N/A,,,,,,,,,,3082 GLENDOWER ST,"ROSAMOND, CA 93560",84,N/A,Yes,,,,
California,Riverside Unified School District,Abraham Lincoln Continuation,,Unranked,N/A,,,,,,,,,,4341 VICTORIA AVE,"RIVERSIDE, CA 92507",292,N/A,Yes,,,,
California,San Jose Unified School District,Abraham Lincoln High School,,Unranked,47.6,70.0%,42.00%,,,,,,,,555 DANA AVE,"SAN JOSE, CA 95126","1,754",N/A,Yes,70.0%,57.00%,3.3,42.00%
California,Los Angeles Unified School District,Abraham Lincoln Senior High,,Unranked,29.7,49.00%,47.00%,,,,,,,,3501 NORTH BROADWAY,"LOS ANGELES, CA 90031","2,045",N/A,Yes,49.00%,47.00%,3,47.00%
California,Poway Unified School District,Abraxas Continuation High,,Unranked,N/A,,,,,,,,,,12450 GLENOAK RD,"POWAY, CA 92064",220,N/A,Yes,,,,
California,Santa Rosa High,Abraxis Charter,,Unranked,N/A,,,,,,,,,,1207 CLEVELAND AVE,"SANTA ROSA, CA 95401",61,N/A,No,,,,
California,Los Angeles Unified School District,Academic Leadership Community,,Unranked,50.4,75.00%,36.00%,,,,,,,,322 LUCAS AVE,"LOS ANGELES, CA 90017",414,99.00%,Yes,75.00%,56.00%,2.3,36.00%
California,Los Angeles Unified School District,Academic Performance Excellence Academy,,Unranked,N/A,,,,,,,,,,1309 NORTH WILTON PLACE,"HOLLYWOOD, CA 90028",331,99.00%,Yes,,,,
California,Pajaro Valley Unified School District,Academic/Vocational Charter Institute,,Unranked,N/A,,,,,,,,,,112 DIAMOND DR,"WATSONVILLE, CA 95076",61,N/A,Yes,,,,
California,Apple Valley Unified School District,Academy For Academic Excellence,,Unranked,32.5,43.00%,51.00%,,,,,,,,17500 MANA RD,"APPLE VALLEY, CA 92307","1,370",25.00%,No,43.00%,67.00%,2.4,51.00%
California,San Francisco Unified School District,Academy Of Arts And Sciences,,Unranked,N/A,,,,,,,,,,555 PORTOLA DR,"SAN FRANCISCO, CA 94131",341,48.00%,Yes,,,,
California,Helendale Elementary,Academy of Careers and Exploration,,Unranked,N/A,,,,,,,,,,13943 RIVERS EDGE RD,"HELENDALE, CA 92342",211,N/A,Yes,,,,
California,Los Angeles Unified School District,Academy of Environmental & Social Policy (Esp) At,,Unranked,N/A,,,,,,,,,,3921 SELIG PLACE,"LOS ANGELES, CA 90031",337,N/A,Yes,,,,
California,Los Angeles Unified School District,Academy of Medical & Health Sciences at Roosevelt,,Unranked,33.6,55.00%,29.00%,,,,,,,,456 SOUTH MATHEWS ST,"LOS ANGELES, CA 90033",482,99.00%,Yes,55.00%,48.00%,2.7,29.00%
California,Gateway Unified School District,Academy of Personalized Learning,,Unranked,N/A,,,,,,,,,,224 HARTNELL AVE,"REDDING, CA 96002",404,N/A,No,,,,
California,Acalanes Union High,Acalanes Center For Independent Study,,Unranked,N/A,,,,,,,,,,1963 TICE VALLEY BLVD,"WALNUT CREEK, CA 94595",51,N/A,No,,,,
California,Orange County Department Of Education,Access Co Community,,Unranked,N/A,,,,,,,,,,200 KALMUS DR,"COSTA MESA, CA 92628","4,426",N/A,No,,,,
California,Orange County Department Of Education,Access Juvenile Hall,,Unranked,N/A,,,,,,,,,,200 KALMUS DR,"COSTA MESA, CA 92628","1,204",N/A,Yes,,,,
California,Riverbank Unified School District,Adelante High,,Unranked,N/A,,,,,,,,,,6200 CLAUS RD,"RIVERBANK, CA 95367",64,66.00%,Yes,,,,
California,Roseville Joint Union High,Adelante High (Continuation),,Unranked,N/A,,,,,,,,,,350 ATLANTIC ST,"ROSEVILLE, CA 95678",137,21.00%,Yes,,,,
California,Los Angeles County Office Of Education,Afflerbaugh-Paige Camp,,Unranked,N/A,,,,,,,,,,6621 NORTH STEPHENS RANCH RD,"LA VERNE, CA 91750",141,98.00%,Yes,,,,
California,Alameda County Office Of Education,Alameda Co Community,,Unranked,N/A,,,,,,,,,,313 WEST WINTON AVE,"HAYWARD, CA 94544",182,N/A,Yes,,,,
California,Alameda County Office Of Education,Alameda Co Juvenile Hall/Court,,Unranked,N/A,,,,,,,,,,2500 FAIRMONT AVE,"SAN LEANDRO, CA 94578",223,99.00%,Yes,,,,
California,Los Angeles Unified School District,Albert Einstein Continuation,,Unranked,N/A,,,,,,,,,,15938 TUPPER ST,"NORTH HILLS, CA 91343",108,N/A,Yes,,,,
California,Yuba City Unified School District,Albert Powell Continuation,,Unranked,N/A,,,,,,,,,,1875 CLARK AVE,"YUBA CITY, CA 95991",206,N/A,Yes,,,,
California,South Bay Union Elementary,Alder Grove Charter,,Unranked,N/A,,,,,,,,,,433 M ST,"EUREKA, CA 95501",238,N/A,Yes,,,,
California,Hemet Unified School District,Alessandro High,,Unranked,N/A,,,,,,,,,,831 EAST DEVONSHIRE AVE,"HEMET, CA 92543",482,N/A,Yes,,,,
California,Los Angeles Unified School District,Alexander Hamilton Senior High,,Unranked,35.1,44.00%,60.0%,,,,,,,,2955 ROBERTSON BLVD,"LOS ANGELES, CA 90034","2,995",N/A,Yes,44.00%,73.00%,3.4,60.0%
California,Salinas Union High,Alisal High,,Unranked,21.3,32.00%,36.00%,,,,,,,,777 WILLIAMS RD,"SALINAS, CA 93905","2,383",N/A,Yes,32.00%,55.00%,2.8,36.00%
California,Warner Unified School District,All Tribes Charter,,Unranked,N/A,,,,,,,,,,34320 VALLEY CENTER RD,"VALLEY CENTER, CA 92082",69,71.00%,No,,,,
California,Los Angeles Unified School District,Alliance College-Ready Academy High No. 7,,Unranked,26.6,43.00%,27.00%,,,,,,,,2941 WEST 70TH ST,"LOS ANGELES, CA 90043",468,N/A,Yes,43.00%,50.0%,1.9,27.00%
California,Alpaugh Unified School District,Alpaugh Junior-Senior High,,Unranked,N/A,,,,,,,,,,5313 RD 39,"ALPAUGH, CA 93201",133,N/A,Yes,,,,
California,Santa Barbara Unified,Alta Vista Alternative High,,Unranked,N/A,,,,,,,,,,215 EAST ORTEGA ST,"SANTA BARBARA, CA 93101",102,97.00%,Yes,,,,
California,Mountain View-Los Altos Union High,Alta Vista High,,Unranked,N/A,,,,,,,,,,1325 BRYANT AVE,"MOUNTAIN VIEW, CA 94040",143,31.00%,No,,,,
California,Vista Unified School District,Alta Vista High (Continuation),,Unranked,N/A,,,,,,,,,,1575 BONAIR DR,"VISTA, CA 92084",221,N/A,Yes,,,,
California,Adelanto Elementary,Alta Vista Public,,Unranked,N/A,,,,,,,,,,11988 HESPERIA RD,"HESPERIA, CA 92345",604,100%,No,,,,
California,Santa Cruz City High,Alternative Family Education,,Unranked,N/A,,,,,,,,,,840 NORTH BRANCIFORTE AVE,"SANTA CRUZ, CA 95062",160,N/A,No,,,,
California,San Bernardino City Unified School District,Alternative Learning Center,,Unranked,N/A,,,,,,,,,,3232 EAST PACIFIC ST,"HIGHLAND, CA 92346",62,N/A,Yes,,,,
California,Alvord Unified School District,Alvord Continuation High,,Unranked,N/A,,,,,,,,,,3606 PIERCE ST,"RIVERSIDE, CA 92503",219,99.00%,Yes,,,,
California,Amador County Office Of Education,Amador Co Special Education,,Unranked,N/A,,,,,,,,,,217 REX AVE,"JACKSON, CA 95642",179,N/A,No,,,,
California,Raisin City Elementary,Ambassador Phillip V. Sanchez Public Charter,,Unranked,N/A,,,,,,,,,,5659 EAST KINGS CANYON RD ST,"FRESNO, CA 93727",169,98.00%,No,,,,
California,Los Angeles Unified School District,Ambassador School of Global Leadership,,Unranked,N/A,,,,,,,,,,701 SOUTH CATALINA ST,"LOS ANGELES, CA 90005",663,N/A,Yes,,,,
California,Los Angeles Unified School District,Amelia Earhart Continuation,,Unranked,N/A,,,,,,,,,,5355 COLFAX AVE,"NORTH HOLLYWOOD, CA 91601",111,N/A,Yes,,,,
California,Fremont Unified School District,American High,,Unranked,37.5,45.00%,73.00%,,,,,,,,36300 FREMONT BLVD,"FREMONT, CA 94536","1,986",N/A,No,45.00%,79.00%,4.3,73.00%
California,Sacramento City Unified School District,American Legion High (Continuation),,Unranked,N/A,,,,,,,,,,3801 BROADWAY,"SACRAMENTO, CA 95817",311,N/A,Yes,,,,
California,Desert Sands Unified School District,Amistad High (Continuation),,Unranked,N/A,,,,,,,,,,44801 GOLF CENTER PARKWAY,"INDIO, CA 92201",439,N/A,Yes,,,,
California,Anaheim Union High,Anaheim High,,Unranked,14.7,19.00%,48.00%,,,,,,,,811 WEST LINCOLN AVE,"ANAHEIM, CA 92805","3,331",N/A,Yes,19.00%,67.00%,3.1,48.00%
California,Los Angeles Unified School District,Anahuacalmecac University Preparatory Hi,,Unranked,42.6,100%,8.00%,,,,,,,,4736 HUNTINGTON DR SOUTH,"LOS ANGELES, CA 90032",114,97.00%,Yes,100%,20.0%,2.7,8.00%
California,East Side Union High,Andrew P. Hill High,,Unranked,17.5,28.00%,39.00%,,,,,,,,3200 SENTER RD,"SAN JOSE, CA 95111","2,236",N/A,Yes,28.00%,50.0%,2.3,39.00%
California,Fairfield-Suisun Unified School District,Angelo Rodriguez High,,Unranked,27.5,39.00%,50.0%,,,,,,,,5000 RED TOP RD,"FAIRFIELD, CA 94534","2,154",N/A,Yes,39.00%,61.00%,2.9,50.0%
California,Los Angeles Unified School District,Animo Alain Leroy Locke Charter High,,Unranked,N/A,,,,,,,,,,325 EAST 111TH ST,"LOS ANGELES, CA 90061",564,N/A,Yes,,,,
California,Los Angeles Unified School District,Animo Locke Charter High School #1,,Unranked,12.8,19.00%,34.00%,,,,,,,,325 EAST 111TH ST,"LOS ANGELES, CA 90061",781,N/A,Yes,19.00%,55.00%,2.1,34.00%
California,Los Angeles Unified School District,Animo Locke Charter High School #2,,Unranked,23.8,41.00%,30.0%,,,,,,,,325 EAST 111TH ST,"LOS ANGELES, CA 90061",811,N/A,Yes,41.00%,45.00%,1.6,30.0%
California,Los Angeles Unified School District,Animo Locke Technology High,,Unranked,13.9,31.00%,16.00%,,,,,,,,810 EAST 111TH PLACE,"LOS ANGELES, CA 90059",539,N/A,Yes,31.00%,26.00%,1.6,16.00%
California,Los Angeles Unified School District,Animo Ralph Bunche High,,Unranked,39.7,42.00%,67.00%,,,,,,,,1655 EAST 27TH ST,"LOS ANGELES, CA 90011",746,N/A,Yes,42.00%,92.00%,2.1,67.00%
California,Los Angeles Unified School District,Animo South Los Angeles Charter High School,,Unranked,36.7,63.00%,19.00%,,,,,,,,11100 WESTERN AVE,"LOS ANGELES, CA 90047",617,0.500%,Yes,63.00%,44.00%,2.4,19.00%
California,Los Angeles Unified School District,Animo Watts Charter High,,Unranked,5.7,18.00%,8.00%,,,,,,,,12628 AVALON BLVD,"LOS ANGELES, CA 90061",550,N/A,Yes,18.00%,9.00%,1.2,8.00%
California,Morgan Hill Unified School District,Ann Sobrato High,,Unranked,32.3,49.00%,48.00%,,,,,,,,401 BURNETT AVE,"MORGAN HILL, CA 95037","1,471",N/A,Yes,49.00%,55.00%,3.5,48.00%
California,Antelope Valley Union High,Antelope Valley High,,Unranked,8,14.00%,16.00%,,,,,,,,44900 NORTH DIVISION ST,"LANCASTER, CA 93535","1,772",N/A,Yes,14.00%,44.00%,3.8,16.00%
California,Palmdale Elementary,Antelope Valley Learning Academy,,Unranked,N/A,,,,,,,,,,1601 PALMDALE BLVD,"PALMDALE, CA 93550",262,99.00%,No,,,,
California,Center Joint Unified School District,Antelope View Charter,,Unranked,N/A,,,,,,,,,,3243 CENTER CT. LN,"ANTELOPE, CA 95843",129,2.00%,Yes,,,,
California,Antioch Unified School District,Antioch High,,Unranked,11.3,18.00%,50.0%,,,,,,,,700 WEST 18TH ST,"ANTIOCH, CA 94509","1,970",N/A,Yes,18.00%,50.0%,2.7,50.0%
California,Aromas/San Juan Unified School District,Anzar High,,Unranked,21.6,29.00%,59.00%,,,,,,,,2000 SAN JUAN HWY,"SAN JUAN BAUTISTA, CA 95045",414,N/A,Yes,29.00%,65.00%,1.9,59.00%
California,East Side Union High,Apollo High,,Unranked,N/A,,,,,,,,,,1835 CUNNINGHAM AVE,"SAN JOSE, CA 95122",160,N/A,Yes,,,,
California,Simi Valley Unified School District,Apollo High,,Unranked,N/A,,,,,,,,,,3150 SCHOOL ST,"SIMI VALLEY, CA 93065",253,N/A,No,,,,
